Dates,CUB.NS Y,HDFCBANK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCBANK.NS X,Effective Margin of CUB.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of CUB.NS X,Effective Investment of CUB.NS Y,Multiplier X,Multiplier Y
2022-08-23,178.89999389648438,1465.800048828125,1.4055669672820534,23.362006865892795,155.53798703059158,,,,,,,,,,,,,,,,
2022-08-24,178.0,1472.8499755859375,1.3264681609069375,22.084266355417128,155.91573364458287,,,,,,,,,,,,,,,,
2022-08-25,189.4499969482422,1464.8499755859375,2.023611360309427,33.8325301219254,155.6174668263168,1.0,,,,,,,,,,,,,,,
2022-08-26,188.0,1465.0999755859375,1.926252113191826,32.31307698906039,155.6869230109396,,,,,,,,,,,,,,,,
2022-08-29,179.14999389648438,1439.4000244140625,1.463875492525348,24.60947979131524,154.54051410516914,,,,,,,,,,,,,,,,
2022-08-30,179.9499969482422,1486.0999755859375,1.3761100691035162,23.17537817190853,156.77461877633365,,,,,,,,,,,,,,,,
2022-09-01,181.0500030517578,1472.1500244140625,1.473850541152674,24.87747848824671,156.1725245635111,,,,,,,,,,,,,,,,
2022-09-02,180.10000610351562,1485.5,1.3748763302806748,23.24768185325405,156.85232425026155,,,,,,,,,,,,,,,,
2022-09-05,178.6999969482422,1495.050048828125,1.26032323957072,21.34363888300126,157.35635806524093,,,,,,,,,,,,,,,,
2022-09-06,176.5,1489.3499755859375,1.1422434490791815,19.37026911444013,157.1297308855599,,,,,,,,,,,,,,,,
2022-09-07,171.89999389648438,1482.300048828125,0.8881046275293826,15.072890539876312,156.82710335660806,,,,,,,,,,,,,,,,
2022-09-08,178.64999389648438,1497.5999755859375,1.2385226913801377,21.04614614380733,157.60384775267704,,,,,,,,,,,,,,,,
2022-09-09,178.5500030517578,1498.5999755859375,1.225280763768804,20.851188389658542,157.69881466209927,,,,,,,,,,,,,,,,
2022-09-12,183.5500030517578,1493.550048828125,1.526117584015686,26.031691477150048,157.51831157460776,,,,,,,,,,,,,,,,
2022-09-13,181.6499938964844,1513.0999755859375,1.3540044030941023,23.13138713192987,158.5186067645545,,,,,,,,,,,,,,,,
2022-09-14,185.25,1528.6500244140625,1.5123301594364058,25.88523547137075,159.36476452862925,,,,,,,,,,,,,,,,
2022-09-15,182.75,1520.699951171875,1.3817810697230464,23.696266597183865,159.05373340281614,,,,,,,,,,,,,,,,
2022-09-16,178.25,1492.75,1.195042166246057,20.52690798641237,157.72309201358763,,,,,,,,,,,,,,,,
2022-09-19,180.10000610351562,1502.5999755859375,1.2687892256730573,21.822927974068875,158.27707812944675,,,,,,,,,,,,,,,,
2022-09-20,184.4499969482422,1520.699951171875,1.4610667433524056,25.1788434700305,159.2711534782117,,,,,,,,,,,,,,,,
2022-09-21,186.3000030517578,1518.3499755859375,1.567006278538602,27.072570764519725,159.2274322872381,,,,,,,,,,,,,,,,
2022-09-22,179.85000610351562,1486.0,1.2845213475688766,22.235430807500165,157.61457529601546,,,,,,,,,,,,,,,,
2022-09-23,176.14999389648438,1446.1500244140625,1.1850574971538834,20.54462546812221,155.60536842836217,,,,,,,,,,,,,,,,
2022-09-26,173.39999389648438,1426.6500244140625,1.0804589773689286,18.752032792884734,154.64796110359964,,,,,,,,,,,,,,,,
2022-09-27,171.5,1413.8499755859375,1.0054915883468851,17.467159951178985,154.032840048821,,,,,,,,,,,,,,,,
2022-09-28,171.25,1389.550048828125,1.0586240715715869,18.405989150119865,152.84401084988014,,,,,,,,,,,,,,,,
2022-09-29,171.75,1382.3499755859375,1.1049660219574298,19.2326020930164,152.5173979069836,,,,,,,,,,,,,,,,
2022-09-30,174.10000610351562,1421.3499755859375,1.122497872663821,19.570609182716822,154.5293969207988,,,,,,,,,,,,,,,,
2022-10-03,169.0,1413.199951171875,0.8527287879076111,14.875668391446624,154.12433160855338,,,,,,,,,,,,,,,,
