Dates,ULTRACEMCO.NS Y,DALBHARAT.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of DALBHARAT.NS X,Effective Margin of ULTRACEMCO.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ULTRACEMCO.NS X,Effective Investment of ULTRACEMCO.NS Y,Multiplier X,Multiplier Y
2022-11-14,6854.39990234375,1690.800048828125,0.4972307307528051,137.90851170108454,6716.4913906426655,,,,,,,,,,,,,,,,
2022-11-15,6964.5498046875,1679.6500244140625,0.981540741247444,272.4513066581767,6692.098498029323,,,,,,,,,,,,,,,,
2022-11-16,6912.0,1707.8499755859375,0.5616172163331573,155.89150246013378,6756.108497539866,,,,,,,,,,,,,,,,
2022-11-17,6871.85009765625,1713.699951171875,0.3682297010268371,102.19356961705672,6769.656528039193,,,,,,,,,,,,,,,,
2022-11-18,6814.4501953125,1678.9000244140625,0.4413668316861781,122.44417600580891,6692.006019306691,,,,,,,,,,,,,,,,
2022-11-21,6754.85009765625,1674.949951171875,0.2571563408257634,71.32474105406618,6683.525356602184,,,,,,,,,,,,,,,,
2022-11-22,6843.0498046875,1713.0999755859375,0.2649531292636295,73.3766476351193,6769.673157052381,,,,,,,,,,,,,,,,
2022-11-23,6824.0498046875,1734.75,0.0204047945395106,5.645211512653077,6818.404593174847,,,,,,,,,,,,,,,,
2022-11-24,6860.2001953125,1739.300048828125,0.1130663518296135,31.22822095248739,6828.971974360013,,,,,,,,,,,,,,,,
2022-11-25,6874.0,1742.1500244140625,0.1384942559148659,38.14241729265632,6835.857582707344,,,,,,,,,,,,,,,,
2022-11-28,6892.2998046875,1759.699951171875,0.0621108573812541,17.063170530508614,6875.236634156991,,,,,,,,,,,,,,,,
2022-11-29,6928.89990234375,1766.25,0.1415508433986538,38.79866437597957,6890.10123796777,,,,,,,,,,,,,,,,
2022-11-30,7077.0,1820.699951171875,0.2423358757460571,66.07437173403923,7010.925628265961,,,,,,,,,,,,,,,,
2022-12-01,7274.0,1901.199951171875,0.3151527290801034,85.44992519199423,7188.550074808006,,,,,,,,,,,,,,,,
2022-12-02,7237.0498046875,1936.699951171875,-0.1074941417863596,-28.97688454588024,7266.02668923338,,,,,,,,,,,,,,,,
2022-12-05,7198.60009765625,1885.5,0.1680154103610611,44.98062147366,7153.61947618259,,,,,,,,,,,,,,,,
2022-12-06,7242.0498046875,1866.199951171875,0.4879849938419078,130.39478659920496,7111.655018088295,,,,,,,,,,,,,,,,
2022-12-07,7162.2001953125,1849.0999755859373,0.3289928177700556,87.69328785157995,7074.50690746092,,,,,,,,,,,,,,,,
2022-12-08,7179.0498046875,1853.1500244140625,0.3585074828550223,95.51863322970075,7083.531171457799,,,,,,,,,,,,,,,,
2022-12-09,7077.39990234375,1847.449951171875,0.0237771624325628,6.329439002789513,7071.0704633409605,,,,,,,,,,,,,,,,
2022-12-12,7146.85009765625,1906.300048828125,-0.1938592116211415,-51.50425107724823,7198.354348733498,,,,,,,,,,,,,,,,
2022-12-13,7225.2998046875,1856.050048828125,0.5113029066589247,135.68323184149995,7089.616572846,,,,,,,,,,,,,,,,
2022-12-14,7197.5498046875,1890.699951171875,0.1250567500992114,33.135590235553536,7164.4142144519465,,,,,,,,,,,,,,,,
2022-12-15,7113.89990234375,1885.3499755859373,-0.1459741277461736,-38.656762166530825,7152.556664510281,,,,,,,,,,,,,,,,
2022-12-16,7014.10009765625,1849.550048828125,-0.2305703475420385,-60.98332811205819,7075.083425768308,,,,,,,,,,,,,,,,
2022-12-19,7076.0,1881.699951171875,-0.256950185401241,-67.89403176064116,7143.894031760641,,,,,,,,,,,,,,,,
2022-12-20,7098.0,1858.050048828125,0.0190396348341337,5.026517635378696,7092.973482364621,,,,,,,,,,,,,,,,
2022-12-21,6950.7001953125,1852.300048828125,-0.4904207138763767,-129.4455350573644,7080.145730369864,,,,,,,,,,,,,,,,
2022-12-22,7012.39990234375,1858.050048828125,-0.3020535888268433,-79.6513858705348,7092.051288214285,,,,,,,,,,,,,,,,
2022-12-23,6909.39990234375,1770.5,0.016031725253869,4.222760575315988,6905.177141768434,,,,,,,,,,,,,,,,
2022-12-26,7074.0,1812.050048828125,0.3041328018753573,80.01966339446699,6993.980336605533,,,,,,,,,,,,,,,,
2022-12-27,7107.2001953125,1863.0999755859373,0.0179418445051152,4.715771726045205,7102.484423586455,,,,,,,,,,,,,,,,
2022-12-28,7053.7998046875,1854.0999755859373,-0.1118154722364355,-29.35913235067437,7083.158937038174,,,,,,,,,,,,,,,,
2022-12-29,6982.2001953125,1855.449951171875,-0.3941866083956877,-103.50639198734916,7085.706587299849,,,,,,,,,,,,,,,,
2022-12-30,6959.0498046875,1862.800048828125,-0.5398968096826813,-141.7555235666141,7100.805328254114,,,,,,,,,,,,,,,,
2023-01-02,7017.9501953125,1887.699951171875,-0.5142601445662528,-134.97782147783164,7152.928016790332,,,,,,,,,,,,,,,,
2023-01-03,6993.60009765625,1872.1500244140625,-0.4803837787598955,-126.01736335671468,7119.617461012965,,,,,,,,,,,,,,,,
