Dates,IGL.NS Y,MGL.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of MGL.NS X,Effective Margin of IGL.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IGL.NS X,Effective Investment of IGL.NS Y,Multiplier X,Multiplier Y
2022-11-16,422.2999877929688,891.9500122070312,-0.3477227122894279,-8.640145263471311,430.94013305644006,,,,,,,,,,,,,,,,
2022-11-17,412.0499877929688,879.0499877929688,-0.5408046861748546,-13.43485444323744,425.4848422362062,,,,,,,,,,,,,,,,
2022-11-18,418.0499877929688,896.75,-0.5932340312847251,-14.736876483043602,432.7868642760124,,,,,,,,,,,,,,,,
2022-11-21,420.8999938964844,901.1500244140624,-0.5498527781084483,-13.659697825971309,434.5596917224557,,,,,,,,,,,,,,,,
2022-11-22,414.8500061035156,871.3499755859375,-0.292074192873142,-7.255137054851673,422.1051431583673,,,,,,,,,,,,,,,,
2022-11-23,412.6499938964844,876.5999755859375,-0.4678798492556514,-11.62487600516596,424.27486990165033,,,,,,,,,,,,,,,,
2022-11-24,416.7000122070313,870.7000122070312,-0.2053853579009077,-5.102943006271403,421.80295521330265,,,,,,,,,,,,,,,,
2022-11-25,430.6000061035156,891.2000122070312,0.0098521823594044,0.2448132629597239,430.3551928405559,,,,,,,,,,,,,,,,
2022-11-28,443.5499877929688,910.4500122070312,0.2073772048537266,5.153663762101473,438.3963240308673,,,,,,,,,,,,,,,,
2022-11-29,433.5,897.4500122070312,0.0214911136802309,0.5340536924345543,432.9659463075655,,,,,,,,,,,,,,,,
2022-11-30,442.6000061035156,902.75,0.2975679503100105,7.39498228817547,435.20502381534016,,,,,,,,,,,,,,,,
2022-12-01,434.1000061035156,899.75,0.004798719937532,0.1191887010946857,433.98081740242094,,,,,,,,,,,,,,,,
2022-12-02,438.4500122070313,907.25,0.0528168237271138,1.3115105234108455,437.1385016836204,,,,,,,,,,,,,,,,
2022-12-05,435.4500122070313,904.1500244140624,-0.0164149008207388,-0.4075444466537874,435.857556653685,,,,,,,,,,,,,,,,
2022-12-06,439.75,899.2000122070312,0.2387013250064897,5.924936939458689,433.8250630605413,,,,,,,,,,,,,,,,
2022-12-07,434.8500061035156,883.75,0.2999215278178903,7.442718960440743,427.4072871430749,,,,,,,,,,,,,,,,
2022-12-08,437.2999877929688,882.3499755859375,0.4208239682402887,10.444431535451884,426.85555625751687,,,,,,,,,,,,,,,,
2022-12-09,435.75,871.1500244140625,0.5448825832108481,13.524772909760657,422.22522709023934,,,,,,,,,,,,,,,,
2022-12-12,438.1000061035156,878.2000122070312,0.5188725673103379,12.881156289739977,425.2188498137757,,,,,,,,,,,,,,,,
2022-12-13,438.6499938964844,873.5999755859375,0.6159448074702604,15.287766325555424,423.36222757092895,,,,,,,,,,,,,,,,
2022-12-14,442.7000122070313,885.25,0.5808223345033184,14.418307844155038,428.2817043628762,,,,,,,,,,,,,,,,
2022-12-15,442.6499938964844,898.75,0.3498400388352632,8.682348154009105,433.96764574247527,,,,,,,,,,,,,,,,
2022-12-16,429.5499877929688,889.2000122070312,-0.0180298001699761,-0.4472801329240496,429.9972679258928,,,,,,,,,,,,,,,,
2022-12-19,441.1499938964844,906.8499755859376,0.1508936631928152,3.7425029986667937,437.4074908978176,,,,,,,,,,,,,,,,
2022-12-20,442.6000061035156,909.75,0.1590743139289725,3.9438468924105337,438.6561592111051,,,,,,,,,,,,,,,,
