Dates,HCLTECH.NS Y,COFORGE.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of COFORGE.NS X,Effective Margin of HCLTECH.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of HCLTECH.NS X,Effective Investment of HCLTECH.NS Y,Multiplier X,Multiplier Y
2023-12-20,1439.949951171875,6039.0498046875,1.606323118929807,68.92555831141908,1371.024392860456,,0.0025904140053491,,,,,,,,,,,,,,,
2023-12-21,1422.050048828125,6127.89990234375,0.8462727452668161,36.26053318049048,1385.7895156476343,,0.001539459562505,,,,,,,,,,,,,,,
2023-12-22,1462.699951171875,6290.2001953125,1.17722946904074,50.39410803233977,1412.3058431395352,,0.0039143952144244,,,,,,,,,,,,,,,
2023-12-26,1458.1500244140625,6276.0498046875,1.0918909880934162,46.76353611644777,1411.3864882976147,,0.0040778114024798,,,,,,,,,,,,,,,
2023-12-27,1472.050048828125,6299.39990234375,1.2990064393058898,55.69417779097739,1416.3558710371476,,0.0047868330869154,,,,,,,,,,,,,,,
2023-12-28,1472.449951171875,6272.35009765625,1.3751186481646107,59.07074096251495,1413.37921020936,,0.0047343233930402,,,,,,,,,,,,,,,
2023-12-29,1466.0999755859375,6274.39990234375,1.189091668587832,51.126556838369424,1414.973418747568,,0.0040818252216006,,,,,,,,,,,,,,,
2024-01-01,1483.75,6192.5498046875,1.8538362698025,79.984618251146,1403.765381748854,,0.0351756665937832,,,,,,,,,,,,,,,
2024-01-02,1469.550048828125,6038.2998046875,2.042385208945087,88.50245708046668,1381.0475917476583,1.0,0.0400293757403905,,,,,,,,,,,,,,,
2024-01-03,1437.75,5928.2001953125,1.673322158629758,72.63352580280775,1365.1164741971922,,0.0311724820250837,,,,,,,,,,,,,,,
2024-01-04,1419.949951171875,5954.0498046875,1.1395079738178742,49.43544207430932,1370.5145090975657,,0.025896710192928,,,,,,,,,,,,,,,
2024-01-05,1432.800048828125,6076.35009765625,0.9494044655131412,41.04383745528821,1391.7562113728368,,0.0115104398050289,,,,,,,,,,,,,,,
2024-01-08,1447.9000244140625,6060.5,1.3264802859681906,57.379319746466535,1390.520704667596,,0.0136619529180372,,,,,,,,,,,,,,,
2024-01-09,1460.4000244140625,6067.85009765625,1.5579895466664886,67.5376581611772,1392.8623662528853,,0.0125963032440365,,,,,,,,,,,,,,,
2024-01-10,1492.0999755859375,6152.25,1.937940723222306,84.28482555012715,1407.8151500358103,,0.0151973277933654,,,,,,,,,,,,,,,
2024-01-11,1484.800048828125,6238.10009765625,1.424458093233016,62.04473821710508,1422.75531061102,,0.0106084450457416,,,,,,,,,,,,,,,
2024-01-12,1540.800048828125,6592.7001953125,1.348525123415666,58.68588928000327,1482.1141595481215,,0.0124590408775899,,,,,,,,,,,,,,,
2024-01-15,1588.199951171875,6614.0498046875,2.2968868503223128,100.49190657493546,1487.7080445969395,,0.0210511974366716,,,,,,,,,,,,,,,
2024-01-16,1555.449951171875,6597.0,1.56074652797641,68.3163739019435,1487.1335772699315,,0.0167054686949885,,,,,,,,,,,,,,,
2024-01-17,1575.9000244140625,6626.9501953125,1.8569532604775916,81.34893104882053,1494.551093365242,,0.0082011537461028,,,,,,,,,,,,,,,
2024-01-18,1567.550048828125,6486.60009765625,2.1379290600104017,93.7982494111718,1473.7517994169532,,0.0111154093055081,,,,,,,,,,,,,,,
2024-01-19,1567.949951171875,6415.35009765625,2.357178134389069,103.5204786424847,1464.4294725293903,,0.0257871342040893,,,,,,,,,,,,,,,
