Dates,IOC.NS Y,BPCL.NS X,Standard Residual,Residual,Y Predicted,Signal,Coint,Trades,Investments,Net Investments,Effective Margin of BPCL.NS X,Effective Margin of IOC.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of IOC.NS X,Effective Investment of IOC.NS Y,Multiplier X,Multiplier Y
2023-11-13,99.0,387.1000061035156,1.584942192047119,9.867735845403203,89.1322641545968,,0.6618044109447971,,,,,,,,,,,,,,,
2023-11-15,101.6999969482422,392.5499877929688,1.8002549034126851,11.212168931315858,90.48782801692631,,0.7063042813631292,,,,,,,,,,,,,,,
2023-11-16,104.0999984741211,398.6499938964844,1.9384293644609851,12.092624401506413,92.00737407261468,,0.8522125406762036,,,,,,,,,,,,,,,
2023-11-17,102.6999969482422,390.25,1.9782822750358888,12.382696129665431,90.31730081857675,,0.8508055704114288,,,,,,,,,,,,,,,
2023-11-20,102.8499984741211,392.0,1.910264834237009,11.979459083053284,90.8705393910678,,0.8216883027503281,,,,,,,,,,,,,,,
2023-11-21,101.0500030517578,388.0,1.7403990151566229,10.933490245599003,90.1165128061588,,0.7905553253790154,,,,,,,,,,,,,,,
2023-11-22,101.25,402.1000061035156,1.233464416242795,7.72851286433513,93.52148713566488,,0.4933107492284158,,,,,,,,,,,,,,,
2023-11-23,103.8000030517578,411.2999877929688,1.2757355086617066,7.9837390160207775,95.81626403573703,,0.4663761499141345,,,,,,,,,,,,,,,
2023-11-24,103.4499969482422,410.6000061035156,1.2224353013321714,7.655440825188549,95.79455612305364,,0.3857246446281291,,,,,,,,,,,,,,,
2023-11-28,108.1999969482422,424.5,1.4261733834715091,8.914273589754288,99.2857233584879,,0.3632047297587271,,,,,,,,,,,,,,,
2023-11-29,108.5500030517578,428.6499938964844,1.2897489224827856,8.05714608894236,100.49285696281544,,0.4385372245736633,,,,,,,,,,,,,,,
2023-11-30,111.75,435.7000122070313,1.4842812023742078,9.26373518172518,102.48626481827482,,0.422876652006477,,,,,,,,,,,,,,,
2023-12-01,111.25,438.0,1.2677871938443768,7.90659605926507,103.34340394073492,,0.2784825467217952,,,,,,,,,,,,,,,
2023-12-04,115.9000015258789,461.5,1.0359486005262484,6.413818594571325,109.48618293130758,,0.2608516052671889,,,,,,,,,,,,,,,
2023-12-05,117.6999969482422,472.2000122070313,0.8385806116123988,5.166122529768913,112.53387441847327,,0.2148205368691963,,,,,,,,,,,,,,,
2023-12-06,119.3000030517578,472.8500061035156,1.001784651044785,6.15866905185662,113.1413339999012,,0.2229167308877773,,,,,,,,,,,,,,,
2023-12-07,121.3499984741211,474.7000122070313,1.1784796557670516,7.223402480041116,114.12659599407998,,0.1830302104856866,,,,,,,,,,,,,,,
2023-12-08,118.8000030517578,470.4500122070313,0.8745076458948164,5.347063759621392,113.45293929213642,,0.1081315251869822,,,,,,,,,,,,,,,
2023-12-11,117.5,465.5,0.8168671612806854,4.981123551102598,112.5188764488974,,0.0886292536734563,,,,,,,,,,,,,,,
2023-12-12,117.5500030517578,447.5499877929688,1.5380072397840163,9.393748673591844,108.15625437816595,,0.0866361478800813,,,,,,,,,,,,,,,
2023-12-13,119.6500015258789,447.5,1.8219964926441687,11.109617895826574,108.54038363005232,,0.1207953093098894,,,,,,,,,,,,,,,
2023-12-14,120.0999984741211,445.7000122070313,1.91011846042161,11.616210233513272,108.48378824060782,,0.1345810426774499,,,,,,,,,,,,,,,
2023-12-15,123.8000030517578,449.0,2.295240622462045,13.924241703674356,109.87576134808346,,0.1590778481119444,,,,,,,,,,,,,,,
2023-12-18,124.3499984741211,447.25,2.399602212355451,14.59064617827518,109.75935229584591,,0.1637221919261384,,,,,,,,,,,,,,,
2023-12-19,124.6999969482422,449.75,2.2776131810685896,13.852780518815408,110.84721642942678,,0.1588622251526519,,,,,,,,,,,,,,,
2023-12-20,120.0500030517578,439.4500122070313,1.9486654260982708,11.841442375213331,108.20856067654448,,0.124387738411145,,,,,,,,,,,,,,,
2023-12-21,124.1500015258789,449.5499877929688,2.086119428233072,12.628298232858228,111.52170329302068,,0.1609543939310589,,,,,,,,,,,,,,,
2023-12-22,123.6999969482422,446.6499938964844,2.0966712990945457,12.676716354381355,111.02328059386085,,0.1707195941153846,,,,,,,,,,,,,,,
2023-12-26,128.0500030517578,451.6000061035156,2.5050147313517823,15.1272317382531,112.92277131350473,,0.1973893246053306,,,,,,,,,,,,,,,
2023-12-27,126.5999984741211,454.7000122070313,2.0509703419683363,12.338147994532193,114.2618504795889,,0.1183074568765363,,,,,,,,,,,,,,,
2023-12-28,133.25,465.7999877929688,2.5161153387361663,15.073355125254125,118.17664487474588,,0.1371215512724928,,,,,,,,,,,,,,,
2023-12-29,129.85000610351562,450.6499938964844,2.6470252022342047,15.886880272507083,113.96312583100854,,0.161807082418638,,,,,,,,,,,,,,,
2024-01-01,130.3000030517578,452.0499877929688,2.5805523568835644,15.429390452537405,114.8706125992204,,0.2155876397291486,,,,,,,,,,,,,,,
2024-01-02,130.5500030517578,456.25,2.336239077003862,13.899008031494418,116.6509950202634,,0.1373539278627296,,,,,,,,,,,,,,,
2024-01-03,132.6999969482422,461.0499877929688,2.370637296884877,14.041756299965911,118.65824064827628,,0.1335500710726407,,,,,,,,,,,,,,,
2024-01-04,131.1999969482422,452.6499938964844,2.50162796308929,14.781989756834676,116.41800719140753,,0.1634000975555016,,,,,,,,,,,,,,,
2024-01-05,132.6999969482422,453.1000061035156,2.6581638329740422,15.644798473245205,117.05519847499698,,0.2408056456672528,,,,,,,,,,,,,,,
2024-01-08,132.64999389648438,455.0,2.4747418133957595,14.496169449751278,118.1538244467331,,0.1203024213731346,,,,,,,,,,,,,,,
2024-01-09,131.89999389648438,459.9500122070313,2.0039528775292297,11.65171255301044,120.24828134347392,,0.0906730399334684,,,,,,,,,,,,,,,
2024-01-10,130.5500030517578,451.25,2.219012447579076,12.863886167782638,117.68611688397516,,0.0963786983794865,,,,,,,,,,,,,,,
2024-01-11,133.25,458.7000122070313,2.189302284085473,12.631036431126091,120.61896356887392,,0.0320503903581019,,,,,,,,,,,,,,,
2024-01-12,135.3000030517578,458.25,2.502264884355618,14.394287998401625,120.9057150533562,,0.0979921280708762,,,,,,,,,,,,,,,
2024-01-15,137.64999389648438,459.9500122070313,2.7301933470452955,15.669241964769723,121.98075193171464,,0.0977082573773722,,,,,,,,,,,,,,,
2024-01-16,143.60000610351562,472.8500061035156,2.8844227839893515,16.48588124108035,127.11412486243528,,0.1387291179364164,,,,,,,,,,,,,,,
