Dates,ICICIGI.NS Y,HDFCLIFE.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of HDFCLIFE.NS X,Effective Margin of ICICIGI.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of ICICIGI.NS X,Effective Investment of ICICIGI.NS Y,Multiplier X,Multiplier Y
2022-08-17,1355.5,589.3499755859375,0.8581596376217026,50.805989072915054,1304.694010927085,,,,,,,,,,,,,,,,
2022-08-18,1326.75,586.75,0.446663582606244,26.445655348692757,1300.3043446513072,,,,,,,,,,,,,,,,
2022-08-19,1289.300048828125,576.6500244140625,0.1091554543960331,6.459532919699086,1282.840515908426,,,,,,,,,,,,,,,,
2022-08-22,1260.6500244140625,566.6500244140625,-0.0833110689669463,-4.925547925004139,1265.5755723390666,,,,,,,,,,,,,,,,
2022-08-23,1249.449951171875,565.8499755859375,-0.2516100280208968,-14.861973173396336,1264.311924345271,,,,,,,,,,,,,,,,
2022-08-24,1243.75,566.6500244140625,-0.3729429288995805,-22.019318471269344,1265.7693184712691,,,,,,,,,,,,,,,,
2022-08-25,1260.300048828125,571.0499877929688,-0.2236229041700322,-13.199628745298014,1273.499677573423,,,,,,,,,,,,,,,,
2022-08-26,1260.050048828125,566.9000244140625,-0.1065555736195236,-6.287958271161642,1266.3380070992866,,,,,,,,,,,,,,,,
2022-08-29,1258.449951171875,560.9500122070312,0.0396266121076831,2.3375464487767204,1256.1124047230985,,,,,,,,,,,,,,,,
2022-08-30,1288.300048828125,575.2000122070312,0.1236847649032754,7.297996682420489,1281.0020521457045,,,,,,,,,,,,,,,,
2022-09-01,1271.5,575.5999755859375,-0.1739903335764602,-10.264244692331204,1281.7642446923312,,,,,,,,,,,,,,,,
2022-09-02,1259.0,574.8499755859375,-0.3626560759932101,-21.39646364603982,1280.3964636460398,,,,,,,,,,,,,,,,
2022-09-05,1261.8499755859375,573.6500244140625,-0.2772333069365971,-16.356756311488198,1278.2067318974257,,,,,,,,,,,,,,,,
2022-09-06,1218.949951171875,573.5,-0.996682489917191,-58.85109368556414,1277.8010448574391,,,,,,,,,,,,,,,,
2022-09-07,1249.3499755859375,576.9500122070312,-0.5827931872573885,-34.41965880771227,1283.7696343936498,,,,,,,,,,,,,,,,
2022-09-08,1228.699951171875,584.3499755859375,-1.1513601288371886,-67.9746988632337,1296.6746500351087,,,,,,,,,,,,,,,,
2022-09-09,1221.300048828125,575.9500122070312,-1.0300354830987497,-60.76803340659103,1282.068082234716,,,,,,,,,,,,,,,,
2022-09-12,1240.4000244140625,578.5499877929688,-0.7814242190801781,-46.11758471332837,1286.5176091273909,,,,,,,,,,,,,,,,
2022-09-13,1235.75,587.0499877929688,-1.106450325326935,-65.38982496802373,1301.1398249680235,,,,,,,,,,,,,,,,
2022-09-14,1245.300048828125,576.3499755859375,-0.627758263793855,-37.10296754362116,1282.4030163717462,,,,,,,,,,,,,,,,
2022-09-15,1234.8499755859375,566.75,-0.5196853152849642,-30.714341142606827,1265.5643167285443,,,,,,,,,,,,,,,,
2022-09-16,1215.4000244140625,546.75,-0.2597164699351514,-15.335518349824724,1230.7355427638872,,,,,,,,,,,,,,,,
2022-09-19,1208.0,548.0999755859375,-0.4224119846369631,-24.948371588882765,1232.9483715888828,,,,,,,,,,,,,,,,
2022-09-20,1215.6500244140625,559.75,-0.6339559942257966,-37.47394668319748,1253.12397109726,,,,,,,,,,,,,,,,
2022-09-21,1200.1500244140625,551.4000244140625,-0.6486947171904734,-38.33735160666629,1238.4873760207288,,,,,,,,,,,,,,,,
2022-09-22,1194.550048828125,545.7999877929688,-0.5770412510199329,-34.09706128339985,1228.6471101115249,,,,,,,,,,,,,,,,
2022-09-23,1179.4000244140625,539.4500122070312,-0.6443581549078841,-38.06829352516411,1217.4683179392266,,,,,,,,,,,,,,,,
2022-09-26,1145.5999755859375,522.75,-0.7182886880846794,-42.42092712403155,1188.020902709969,,,,,,,,,,,,,,,,
2022-09-27,1158.4000244140625,520.8499755859375,-0.4434513168872362,-26.188996554475352,1184.589020968538,,,,,,,,,,,,,,,,
2022-09-28,1164.050048828125,514.4500122070312,-0.1589409443071674,-9.382440263243096,1173.432489091368,,,,,,,,,,,,,,,,
2022-09-29,1165.949951171875,528.0,-0.5193695332303286,-30.67019567488296,1196.620146846758,,,,,,,,,,,,,,,,
2022-09-30,1151.1500244140625,530.4500122070312,-0.8332027410363643,-49.22916909355217,1200.379193507615,,,,,,,,,,,,,,,,
2022-10-03,1125.449951171875,518.7000122070312,-0.9132710096076904,-53.96468800562116,1179.4146391774962,,,,,,,,,,,,,,,,
2022-10-04,1149.949951171875,531.9500122070312,-0.8904723424119164,-52.64969747481223,1202.5996486466872,,,,,,,,,,,,,,,,
2022-10-06,1160.449951171875,529.6500244140625,-0.6404407091594669,-37.87726516148746,1198.3272163333625,,,,,,,,,,,,,,,,
2022-10-07,1144.9000244140625,526.8499755859375,-0.8170178845952863,-48.3239903095332,1193.2240147235957,,,,,,,,,,,,,,,,
2022-10-10,1129.0999755859375,533.2000122070312,-1.2648730495161065,-74.9412282714045,1204.041203857342,,,,,,,,,,,,,,,,
2022-10-11,1135.050048828125,522.5499877929688,-0.8456851532396079,-50.08062012757705,1185.130668955702,,,,,,,,,,,,,,,,
2022-10-12,1134.300048828125,526.5999755859375,-0.9773322481129092,-57.88390464295708,1192.183953471082,,,,,,,,,,,,,,,,
2022-10-13,1131.800048828125,520.6500244140625,-0.837393634147262,-49.6073978271163,1181.4074466552413,,,,,,,,,,,,,,,,
2022-10-14,1126.6500244140625,523.0,-0.986005035434038,-58.47646027962537,1185.126484693688,,,,,,,,,,,,,,,,
2022-10-17,1132.3499755859375,523.75,-0.9059271922992896,-53.77181474461554,1186.121790330553,,,,,,,,,,,,,,,,
2022-10-18,1149.4000244140625,531.25,-0.8374678249600813,-49.75922663240158,1199.159251046464,,,,,,,,,,,,,,,,
2022-10-19,1137.9000244140625,531.5499877929688,-1.033919688757374,-61.48968512224974,1199.3897095363122,,,,,,,,,,,,,,,,
2022-10-20,1152.949951171875,537.2000122070312,-0.943984417617056,-56.20327069507857,1209.1532218669536,,,,,,,,,,,,,,,,
2022-10-21,1151.75,541.9500122070312,-1.0977077259302426,-65.44881220752268,1217.198812207523,,,,,,,,,,,,,,,,
2022-10-24,1150.0,541.5499877929688,-1.1070914179441884,-66.08957524420134,1216.0895752442011,,,,,,,,,,,,,,,,
2022-10-25,1153.949951171875,533.4500122070312,-0.7953636698510619,-47.484608428648016,1201.434559600523,,,,,,,,,,,,,,,,
2022-10-27,1162.050048828125,533.0,-0.6455224609937948,-38.528847550592445,1200.5788963787174,,,,,,,,,,,,,,,,
2022-10-28,1164.3499755859375,530.0999755859375,-0.5217526680590001,-31.109091363324524,1195.459066949262,,,,,,,,,,,,,,,,
2022-10-31,1169.949951171875,540.4500122070312,-0.7372654106200266,-43.96857355972725,1213.9185247316022,,,,,,,,,,,,,,,,
2022-11-01,1172.0999755859375,544.5499877929688,-0.8241154045081577,-49.12947711900233,1221.2294527049398,,,,,,,,,,,,,,,,
2022-11-02,1167.8499755859375,542.25,-0.8271870109493066,-49.26785371726169,1217.1178293031992,,,,,,,,,,,,,,,,
2022-11-03,1165.199951171875,545.4000244140625,-0.9676617745994116,-57.55611322691698,1222.756064398792,,,,,,,,,,,,,,,,
2022-11-04,1161.1500244140625,539.2999877929688,-0.8530269746821755,-50.67289933512188,1211.8229237491844,,,,,,,,,,,,,,,,
2022-11-07,1160.25,536.0,-0.7684398333986714,-45.61832554064722,1205.8683255406472,,,,,,,,,,,,,,,,
2022-11-09,1155.5,531.75,-0.7184593584326684,-42.64336782782402,1198.143367827824,,,,,,,,,,,,,,,,
2022-11-10,1134.8499755859375,528.25,-0.9560861714180366,-56.77043285494392,1191.6204084408814,,,,,,,,,,,,,,,,
2022-11-11,1131.9000244140625,542.6500244140625,-1.434534181146122,-85.29616796908022,1217.1961923831427,,,,,,,,,,,,,,,,
2022-11-14,1133.449951171875,538.8499755859375,-1.2914773561292694,-76.70238026249262,1210.1523314343676,,,,,,,,,,,,,,,,
2022-11-15,1120.199951171875,532.9000244140625,-1.3330278343279762,-78.99098426841942,1199.1909354402944,,,,,,,,,,,,,,,,
2022-11-16,1131.3499755859375,528.0999755859375,-0.9955878787515152,-58.95425343398847,1190.304229019926,,,,,,,,,,,,,,,,
2022-11-17,1127.25,531.2000122070312,-1.1557752882853989,-68.38541986255086,1195.6354198625509,,,,,,,,,,,,,,,,
2022-11-18,1136.699951171875,531.5499877929688,-1.0042843031607518,-59.247314745945005,1195.94726591782,,,,,,,,,,,,,,,,
2022-11-21,1127.75,532.3499755859375,-1.178486779331218,-69.30336980805032,1197.0533698080503,,,,,,,,,,,,,,,,
2022-11-22,1128.6500244140625,539.9500122070312,-1.3945797701371734,-81.92318589291858,1210.573210306981,,,,,,,,,,,,,,,,
2022-11-23,1133.949951171875,547.6500244140625,-1.5354513642521712,-90.27169498689318,1224.2216461587682,,,,,,,,,,,,,,,,
2022-11-24,1169.9000244140625,572.5499877929688,-1.6899709416249755,-99.53809768569954,1269.438122099762,,,,,,,,,,,,,,,,
2022-11-25,1159.3499755859375,586.5999755859375,-2.290203877178606,-135.4893761343326,1294.83935172027,-1.0,,,,,,,,,,,,,,,
2022-11-28,1158.800048828125,586.0,-2.265842961426684,-134.6275956973659,1293.427644525491,,,,,,,,,,,,,,,,
2022-11-29,1175.699951171875,584.8499755859375,-1.9326058888591289,-115.2394834668014,1290.9394346386764,,,,,,,,,,,,,,,,
2022-11-30,1211.1500244140625,590.5999755859375,-1.5071139743424455,-90.0290540059068,1301.1790784199693,,,,,,,,,,,,,,,,
2022-12-01,1224.5999755859375,596.4500122070312,-1.4550924692655458,-86.97516944229756,1311.575145028235,,,,,,,,,,,,,,,,
2022-12-02,1238.6500244140625,589.8499755859375,-1.0140773605822622,-60.35142929420067,1299.0014537082632,,,,,,,,,,,,,,,,
2022-12-05,1223.4000244140625,588.9000244140625,-1.2354524863770844,-73.5170202245854,1296.917044638648,,,,,,,,,,,,,,,,
2022-12-06,1220.1500244140625,586.7999877929688,-1.2191912292592528,-72.59734729565594,1292.7473717097184,,,,,,,,,,,,,,,,
2022-12-07,1245.9000244140625,581.7999877929688,-0.6291856304285183,-37.46405249185955,1283.364076905922,,,,,,,,,,,,,,,,
2022-12-08,1249.1500244140625,577.5,-0.4390038557154694,-26.12212861998023,1275.2721530340427,,,,,,,,,,,,,,,,
2022-12-09,1247.949951171875,579.5999755859375,-0.5216230220064624,-31.03432069057999,1278.984271862455,,,,,,,,,,,,,,,,
2022-12-12,1229.8499755859375,576.5,-0.7266633752111361,-43.24688377796838,1273.096859363906,,,,,,,,,,,,,,,,
2022-12-13,1224.449951171875,582.3499755859375,-0.994160938061306,-59.21716026666127,1283.6671114385365,,,,,,,,,,,,,,,,
2022-12-14,1243.699951171875,580.3499755859375,-0.6060611664525923,-36.060675153546526,1279.7606263254215,,,,,,,,,,,,,,,,
2022-12-15,1234.199951171875,580.2000122070312,-0.7575593264974471,-45.07522603796701,1279.275177209842,,,,,,,,,,,,,,,,
