Dates,LUPIN.NS Y,GLENMARK.NS X,Standard Residual,Residual,Y Predicted,Signal,Trades,Investments,Net Investments,Effective Margin of GLENMARK.NS X,Effective Margin of LUPIN.NS Y,Trade Length,Percentage Return,Profit,Net Percentage Return,Long Profit,Short Profit,Effective Investment of LUPIN.NS X,Effective Investment of LUPIN.NS Y,Multiplier X,Multiplier Y
2022-10-10,707.2000122070312,393.1000061035156,0.1148433971437495,8.641208659578297,698.558803547453,,,,,,,,,,,,,,,,
2022-10-11,680.9500122070312,384.0499877929688,0.0235363340507837,1.764971754147609,679.1850404528836,,,,,,,,,,,,,,,,
2022-10-12,679.2999877929688,388.9500122070313,-0.1324831372041256,-9.89666412129759,689.1966519142663,,,,,,,,,,,,,,,,
2022-10-13,687.1500244140625,389.9500122070313,-0.0515965474270223,-3.840679755241695,690.9907041693042,,,,,,,,,,,,,,,,
2022-10-14,690.6500244140625,390.8500061035156,-0.0255361986510696,-1.8946909712258275,692.5447153852883,,,,,,,,,,,,,,,,
2022-10-17,690.6500244140625,394.3500061035156,-0.1215465015182889,-8.98893289242983,699.6389573064923,,,,,,,,,,,,,,,,
2022-10-18,693.7999877929688,397.2000122070313,-0.1557349266470887,-11.476903431218943,705.2768912241877,,,,,,,,,,,,,,,,
2022-10-19,689.1500244140625,395.4500122070313,-0.1644724088034841,-12.086590495433027,701.2366149094955,,,,,,,,,,,,,,,,
2022-10-20,679.7000122070312,398.1000061035156,-0.3655502191906611,-26.81698724951252,706.5169994565438,,,,,,,,,,,,,,,,
2022-10-21,678.7999877929688,398.2000122070313,-0.3767602386053938,-27.593728151091117,706.3937159440599,,,,,,,,,,,,,,,,
2022-10-24,680.75,397.8999938964844,-0.337543031292948,-24.67769728004157,705.4276972800416,,,,,,,,,,,,,,,,
2022-10-25,684.5,401.6000061035156,-0.3894778907591638,-28.440729514601685,712.9407295146017,,,,,,,,,,,,,,,,
2022-10-27,703.2999877929688,399.6499938964844,-0.0731478123020344,-5.33668913317058,708.6366769261393,,,,,,,,,,,,,,,,
2022-10-28,696.4000244140625,399.7000122070313,-0.1664880538475496,-12.13725442141174,708.5372788354742,,,,,,,,,,,,,,,,
2022-10-31,699.0,404.5499877929688,-0.2687291016123502,-19.578189389772437,718.5781893897724,,,,,,,,,,,,,,,,
2022-11-01,709.25,413.3999938964844,-0.383199556306311,-27.91960726480761,737.1696072648076,,,,,,,,,,,,,,,,
2022-11-02,707.4500122070312,417.8999938964844,-0.5356526923624403,-39.02579353574606,746.4758057427773,,,,,,,,,,,,,,,,
2022-11-03,712.1500244140625,422.8500061035156,-0.611959489658199,-44.58288213687183,756.7329065509343,,,,,,,,,,,,,,,,
2022-11-04,710.6500244140625,421.3500061035156,-0.5859207570539123,-42.69281440567886,753.3428388197414,,,,,,,,,,,,,,,,
2022-11-07,709.8499755859375,423.0,-0.6427159106831726,-46.85243735361189,756.7024129395494,,,,,,,,,,,,,,,,
2022-11-09,694.25,420.5499877929688,-0.7826919607223859,-57.07996187998083,751.3299618799808,,,,,,,,,,,,,,,,
2022-11-10,719.3499755859375,415.5499877929688,-0.2903933678591235,-21.171889138771803,740.5218647247093,,,,,,,,,,,,,,,,
2022-11-11,747.0,413.6000061035156,0.1450526287444415,10.575094574717014,736.424905425283,,,,,,,,,,,,,,,,
2022-11-14,759.5,430.5,-0.1758950887367547,-12.826338203210298,772.3263382032103,,,,,,,,,,,,,,,,
2022-11-15,753.5499877929688,435.1000061035156,-0.3904014085434271,-28.47440490318695,782.0243926961557,,,,,,,,,,,,,,,,
2022-11-16,739.6500244140625,429.5,-0.4157526736256785,-30.325233761040977,769.9752581751035,,,,,,,,,,,,,,,,
2022-11-17,736.0999755859375,429.2999877929688,-0.4566207390219674,-33.31134155501195,769.4113171409494,,,,,,,,,,,,,,,,
